PC1,PC2
-5.112440403429244,-11.630395261809277
-7.137357997689103,-0.2951583206000665
17.235261498766874,2.9660007445848806
-2.235454486813857,1.7694155184917661
16.50309373365136,-4.285677352413927
-5.0042185390139435,4.480875275889556
-6.299049233877274,0.22807601746072517
18.31893637745909,1.3324588573135345
15.246366745440193,-4.908977641717838
-8.148110776891466,-2.557558577246439
8.950868273230906,-5.616315696880821
-6.754911685665637,1.1406136602037915
16.55407962632324,-1.2169974606482794
-8.479714367078598,-4.486968182880383
-8.91934619906942,-1.928102251572315
-0.16384652378385625,13.555179105989364
-0.4183551223949363,3.9573107185342447
-6.050186442530287,-2.6281917308175506
-7.3858456858836306,0.13218398736118828
-0.9141276529215547,12.881281024087313
-3.8643025714204042,6.247850738990667
16.87050011443721,-1.0593256471053099
-4.773835577921316,-10.040150700560801
-6.390941423731687,0.26828272627533284
-8.542772533511652,0.1237587541447645
-4.78261280242717,-12.750606571956702
-0.7523057976539916,12.149666464649773
-4.90590645056622,3.390184321478457
-6.5386773872816475,1.8416077690072488
-5.066058141432346,2.1531949529856576
-3.943847789719573,2.355546900715687
-0.5897780998853823,11.670801286359023
16.037628654916215,-3.6406691377718725
-0.44076823557002665,14.89150624194359
-7.345591397216841,1.3457634223699484
7.561744228608398,-2.777421644792749
8.887462094744325,-7.427508378594738
-7.833144680842349,-0.888580086719944
-1.3079244127295264,0.37176417662398775
-5.497923015808743,0.5098545631631693
-9.238116044453845,-4.183246758816724
-6.134304093831384,1.1422165047984658
14.898169416856799,-3.769735049890553
-5.518212705617981,-9.766617500711112
-0.630091865011152,12.808281412535782
-6.072714683235779,6.42682348719942
-7.800348527551086,-2.5076473774561445
14.981479378135546,-0.5460121121141273
15.729502148366583,-2.9105115994315875
11.460474270289398,0.9967996678396669
-6.699672749404326,1.45643798462078
-5.019805442765625,1.6666935814607844
-3.893705723286005,2.550561029146928
-4.276126472323817,6.1644341184967475
7.5615842266596545,-3.1513216495563334
14.746871956829125,-5.864830823907753
-7.780644394788459,-1.775156150226843
14.103419022846824,-5.880784281981101
-3.188342275002954,8.532894209311337
-7.137037495606272,2.829827015118469
-5.179654951114572,7.269114178373534
-2.5274628961276617,10.666753976199349
16.65662095616462,-0.6917035971863759
-9.51466800449491,0.4085327365942817
-5.882234862810937,1.823238117601333
-1.5011138288498191,-2.340324609341092
16.74497628521343,0.848678981848288
19.48906847527092,2.2974413819069874
-3.1899796228384765,-9.162137534509625
-5.917599583887499,-1.7461860600712165
-3.6452592691064614,-8.73131948263445
-5.962533900887521,1.5748856839233973
12.841649948427218,-3.4612851131070386
12.98416135438243,-4.185392736551884
-6.810999977849881,-1.634784466863331
-2.5987163761746293,11.86205977887873
-7.669217925576377,1.4774708028860124
-8.383583354899322,-1.1949452240110265
18.189141723791657,-1.0496450714204917
-3.586874558935849,-12.055622083946298
19.277816239566697,1.3719882703206845
-3.8482541213182873,2.661285057732079
-4.746794810977464,5.710940991665642
-6.536699447687405,-0.174073596573977
-3.062111333651843,-6.264601543078452
-0.9108562096103291,-5.18503627071476
17.63672258644869,0.518022430015624
-7.694817528353705,-1.102405620972876
-8.681677612291969,-4.656491608398235
-7.5029126140156155,-5.625924280202263
-8.847687760526366,-5.387185728454243
-7.727918356198877,-2.0277310232677914
-5.5885098568300435,1.2238979460570358
-6.345879752654909,-5.458616875535396
-1.8201195571531017,-6.867226232879173
-8.51502856202082,-3.401001523106201
-4.037988744141591,-10.780388084934792
-5.28106918228162,0.3123800629108958
-5.49645283876677,-0.3523177582509335
-7.469378702776571,-0.12924474395483232
-2.0100711287444106,9.519902358083895
-5.780340055494428,2.2680198863028336
16.24059342586686,5.283810498398455
-0.7141231039889375,13.280311414390333
-4.322697638021359,-10.066949486707605
16.29034344168537,3.802056742624213
-4.231807087827674,-6.670957741300694
-7.616275976933148,-2.88334501288973
-0.4736969529067301,12.256916871432235
-5.005034589073521,-0.9180196324994572
0.9530089138040043,13.50681206365645
-8.311082016991062,-0.6151425680843404
-7.125977763824805,1.8961682094813908
0.6263600049885355,-5.589029821147329
-7.14642696979451,4.850687764229957
-8.456753544181382,-3.3639687516965737
-7.977615114148047,-1.2526219536075787
-4.56274189890968,-10.204361344141004
-6.6013979645569805,1.1740522177110535
-5.398693129144506,6.573035856250207
12.650564513814738,-4.830944727850601
13.980364401847893,-6.090650316161961
16.667229510834005,-3.8893849938460137
-3.4417538617638876,-9.829747434306354
-5.815657539052009,-8.566863667115904
-7.370207480978364,-0.2783466100182604
16.2691772026322,-4.152839126592907
-8.151379014744254,-3.3529707037324226
-4.1464537076228725,-1.831555965321502
15.059407608640587,-3.6787619045422884
-6.949516779984487,-1.0169457158542416
-4.4457177763621445,-1.945005939843232
-2.470757586069124,6.830576152463717
12.249160040971207,-5.925367423068733
-7.23262743751632,0.8170289995731186
18.614885903757074,0.10581778568556041
12.209858271018634,-8.081363431027054
-5.2049481835168,-10.72136519115117
-5.249140532765654,4.454943731841988
-6.787194837386827,-2.426200815957338
-8.287162298397405,-1.8849940586649265
-2.9162208269497887,6.105860971303755
-4.044801276538105,-5.494329234042936
-2.2003382927636137,10.56273353089449
-3.865512782210713,11.407793619949162
-3.6654163653420504,-9.512032926058781
-6.529465514221727,2.6223783580746614
14.17860423415856,-5.425683872330514
-3.8894402190852326,-8.665734051898093
-4.1061698916610805,-10.641260215427014
15.481693013199664,-4.280589788272428
-5.596184763267106,0.274539504491145
16.452844905824815,5.497231908494961
18.709664025569595,3.2688690903568856
-1.4738868963256724,11.423387422548686
-4.114156162459205,2.9258981187211446
15.329318806055134,0.4667352147033377
15.120713846141863,0.010262780595529571
19.880580354327694,2.953069823793524
-8.375726668452463,0.7556597354691525
17.063086161514516,1.06221872066907
18.71957884318182,2.1659420024588614
-6.062181208679881,2.7742484303364265
-5.406333579855078,-0.6941679797362783
15.553131519858377,-2.895781616721061
-3.7357539731916036,-8.114210108491143
-8.993966190267646,-3.758968993999976
16.58597014647288,3.9256085856143734
-6.2624085176619895,-0.0020725721423792438
-4.389901260287376,4.226432845747466
