UMAP1,UMAP2
-0.35007998,11.311936
6.234008,-2.612424
4.345879,-1.7805631
-0.9854805,11.471059
-0.24193192,0.0012801016
-0.17545262,-0.23630153
-0.20160347,13.597541
5.563459,-3.1826336
6.493814,-3.3420563
5.6200857,-1.8044114
4.3395524,-2.045971
5.5394545,-2.5901015
5.2346835,-1.7983139
5.615055,-2.6967287
-0.4816706,-0.064046875
-0.4600867,11.338973
-0.88986236,11.615244
4.308786,-1.4792688
-1.0815669,11.552258
-1.7070308,11.442875
5.121783,-1.2503476
2.7847269,-0.63974464
-0.8907959,12.761568
-0.36656678,-0.027984366
5.9095945,-2.650987
3.8767126,-1.1549046
0.13823292,-0.08555291
-0.20797272,12.158239
-0.33883798,-0.14054863
5.0448523,-1.0963542
-1.4696332,11.661489
6.1352715,-2.9432278
4.708906,-1.6074451
-0.8346439,11.732963
-1.2760583,11.821852
6.110548,-2.960263
4.017895,-1.5479196
-1.0294439,11.49226
-0.4391595,12.473405
6.024381,-2.162437
5.6883526,-1.937623
-1.0033278,11.215816
3.4589686,-0.60030943
-0.0053571938,-0.35518396
6.2890697,-2.558002
5.072191,-2.383293
4.527166,-0.8655753
-1.0628115,11.572444
5.0098467,-1.3508098
6.1000266,-2.9367445
-0.28548437,-0.14100376
-0.28911725,0.23817872
0.015401334,13.240488
4.4825277,-0.85518056
4.531636,-0.7753969
-1.1701767,11.388539
-0.16305442,13.498864
-0.30645072,0.052110992
-0.12419453,11.84848
5.463643,-1.787211
5.753635,-2.1261797
6.1028366,-2.2869666
6.356083,-3.3723307
5.648132,-2.5361862
-0.7402683,-0.20230293
-0.11685943,12.416356
4.426604,-1.4664952
4.16566,-0.890767
4.5920215,-1.0988371
-0.021090513,13.138374
4.723999,-1.2270086
-1.3380677,11.41295
4.9634376,-1.6335194
-0.54800344,12.131276
5.3541093,-2.2220163
-0.03659003,13.475297
5.0699697,-0.94467956
6.1341405,-2.730582
5.584299,-2.6514943
5.964525,-2.8109984
3.755767,-0.798965
-1.334644,11.388415
-0.30143556,-0.23289263
5.891364,-2.0632167
4.331806,-1.307817
5.6692834,-1.8862802
2.7316785,-0.6821278
4.15832,-1.2268665
6.4697576,-2.5706182
4.1262975,-0.86968327
5.0399117,-1.9867043
5.410321,-2.523921
6.1138706,-3.0560224
-0.71186113,-0.25748917
-0.4523966,-0.15712978
-0.48403493,-0.2672086
-0.5776429,-0.21281376
4.591591,-1.9922888
6.0359716,-3.3416278
5.424229,-1.4247503
-0.28169453,-0.06787596
-0.31107372,-0.2740225
3.4709501,-0.8375741
-1.1296101,11.09763
5.900689,-2.9935575
-0.6471097,11.78702
-1.2403704,11.411361
0.2348592,-0.27415937
3.4351172,-0.6249345
3.6301064,-0.866255
5.739775,-3.3983378
4.2092276,-0.5297648
-0.0156092895,13.439427
6.2495995,-2.8468678
-0.29004195,-0.028250253
5.0045657,-1.704121
5.414902,-1.8445299
0.38626382,-0.23097609
4.895484,-1.2775769
5.545405,-1.682958
6.141725,-2.277582
0.17290224,11.291988
5.554812,-1.3368934
5.4770937,-2.939709
5.6521416,-2.4918604
-0.3199673,13.591017
-0.48883098,12.008752
-0.03128839,11.778919
5.6091733,-2.1256049
6.341805,-3.3332925
-0.826625,11.098173
-0.98069376,11.261284
4.950044,-2.5239203
-0.11551404,13.215806
-0.26742697,-0.10354909
4.526001,-1.3840238
2.9866698,-1.1288631
5.94537,-2.3825061
6.3180604,-2.1490297
5.569767,-1.2889489
-0.57820135,0.02351229
3.6247838,-0.555338
5.512284,-2.0249803
5.3972096,-3.1217732
